snapped_at,price,market_cap,total_volume
1389571200,0.0211652,165467201,23502
1389657600,0.0213437,166862694,17951
1389744000,0.0207658,162344736,69046
1389830400,0.0199247,155769109,65473
1389916800,0.0199726,156143586,80476
1390003200,0.0191161,149447563,81644
1390089600,0.0182854,142953242,111662
1390176000,0.0185526,145042182,108301
1390262400,0.0191786,149936181,84073
1390348800,0.0204128,159585021,66064
1390435200,0.0209537,163813717,132292
1390521600,0.0204254,159683526,82655
1390608000,0.0203404,159019006,29239
1390694400,0.0203371,158993206,82570
1390780800,0.0206331,161307302,110279
1390867200,0.0208784,163225030,121498
1390953600,0.0214641,167803968,92102
1391040000,0.0214894,168001761,82358
1391126400,0.0208163,162739539,51553
1391212800,0.020027,156568879,91009
1391299200,0.0183476,143439515,94078
1391385600,0.0184492,144233812,137345
1391472000,0.0173264,135455886,46602
1391558400,0.0177394,138684674,78993
1391644800,0.0182464,142648344,135739
1391731200,0.0172474,134838272,84918
1391817600,0.0167991,131333512,64686
1391904000,0.0157666,123261541,104394
1391990400,0.0159131,124406862,158770
1392076800,0.0161888,126562254,81918
1392163200,0.015269,119371359,84985
1392249600,0.0153238,119799780,115312
1392336000,0.0152173,118967174,191498
1392422400,0.0153568,120057770,223546
1392508800,0.0145808,113991087,188522
1392595200,0.0147336,115185661,93763
1392681600,0.0156294,122188927,88774
1392768000,0.0149639,116986121,63366
1392854400,0.0113426,88675197,122708
1392940800,0.0137323,107357608,175388
1393027200,0.0138436,108227739,151039
1393113600,0.0141288,110457401,29209
1393200000,0.0138003,107889224,164650
1393286400,0.0136833,106974531,79966
1393372800,0.0139152,108787500,85549
1393459200,0.015657,122404700,231513
1393545600,0.0158142,123633673,84658
1393632000,0.0160143,125198032,137670
1393718400,0.0152577,119283017,165546
1393804800,0.0147279,115141099,108130
1393891200,0.0145256,113559540,12954
1393977600,0.0144892,113274969,17615
1394064000,0.0147453,115277130,107847
1394150400,0.0143696,112339949,239703
1394236800,0.0143613,112275061,48143
1394323200,0.0142599,111482327,120309
1394409600,0.0143668,112318059,65615
1394496000,0.0143675,112323532,50259
1394582400,0.0140547,109878096,106374
1394668800,0.0136943,107060528,102741
1394755200,0.014008,109513000,109271
1394841600,0.0136985,107093363,72733
1394928000,0.0133853,104644800,219999
1395014400,0.0129715,101409757,100693
1395100800,0.0127485,99666368,179944
1395187200,0.0125302,97959723,113405
1395273600,0.0127123,99383360,95987
1395360000,0.0127315,99533464,158163
1395446400,0.0110146,86110929,229366
1395532800,0.010733,83909411,267406
1395619200,0.0105044,82122242,195563
1395705600,0.00997515,77984623,124124
1395792000,0.00905744,70810068,203590
1395878400,0.008703062,68458134,172709
1395964800,0.009721583,61931056,306889
1396051200,0.007761347,62108287,172873
1396137600,0.007743166,63275967,132007
1396224000,0.008315735,65075567,73596
1396310400,0.008034657,64471714,95708
1396396800,0.00822231,64281113,63143
1396483200,0.008324571,62642875,65204
1396569600,0.007809118,61493410,221844
1396656000,0.005791493,49396946,332953
1396742400,0.00604461,51456022,345888
1396828800,0.006057504,48919273,182421
