snapped_at,price,market_cap,total_volume
1438905600,2.83162,0,90622
1438992000,1.33075,80339475,368070
1439078400,0.6875857090838133,41556309.21112176,400464.0745435489
1439164800,1.067378879429946,64539006.306272194,1518998.2053373822
1439251200,1.256613175101658,76013261.05415402,2073893.3450314845
1439337600,1.825395446319752,110468836.22388984,4380142.704000345
1439424000,1.825974891355639,110555313.26025319,4355618.378552116
1439510400,1.670949668937766,101215246.3781064,2519633.2708181436
1439596800,1.476607254205028,89480939.24025029,3032657.656405736
1439683200,1.203871431,87313387.94547918,1880092.2147175823
1439769600,1.281393051659975,92957858.06,1696013.472335737
1439856000,1.252738651679077,90920695.86547753,1537200.8409894055
1439942400,1.484195074171873,107749185.84108424,2967730.5022106003
1440028800,1.406314774,102131022.8278611,1742881.8081502889
1440115200,1.380721536476638,100308763.78229792,914588.6539745613
1440201600,1.355182100454404,98488001.44464436,1610695.8727506467
1440288000,1.246571683,90625948.31797116,696476.5553267623
1440374400,1.160828327907264,84423109.08066371,1053169.3862050485
1440460800,1.119639156482987,81454879.46968535,1151700.041593045
1440547200,1.133690694008804,82504022.82,681460.2394411361
1440633600,1.188895698722608,86549490.63266213,715178.7899308845
1440720000,1.174343905252208,85515599.87435573,607200.8915
1440806400,1.322350879918967,96321049.69,1045589.321256734
1440892800,1.353368417391325,98608290.53954794,1197102.0492865555
1440979200,1.350786688734447,98446826.49425755,610368.2430900692
1441065600,1.278810765308764,93224371.25915022,629746.1193
1441152000,1.262770719520856,92075482.63297981,583923.7452450913
1441238400,1.269520099878085,92596631.55333723,333502.66115673864
1441324800,1.334976229386974,97402782.61913483,350815.4668948872
1441411200,1.298883134,94801706.70501994,317470.0943419727
1441497600,1.256223439965584,91718481.31789045,487005.2028033498
1441584000,1.236033260936938,90274690.39947063,419148.8018252036
1441670400,1.206529945086729,88150718.66876175,367774.3318949896
1441756800,1.167234841402144,85308945.82,639527.9174929534
1441843200,0.9765090926915041,71394234.94958797,1901710.694902119
1441929600,1.038203585306107,75931677.01254052,800623.2998453851
1442016000,0.9386521502557871,68673818.80135794,658895.1959938455
1442102400,0.874022962,63965969.21105757,739213.7259180878
1442188800,0.9418231857274298,68951445.23,725816.4711
1442275200,0.9032199195724051,66147947.57992838,629370.0849072988
1442361600,0.8830787289063511,64693831.07862287,910704.9512256783
1442448000,0.8460709193872474,62003275.12077277,478606.3969218407
1442534400,0.8821037996855977,64666306.22983543,387803.6167124918
1442620800,0.9363277614869444,68666556.12460059,514836.10862474947
1442707200,0.9010928790890973,66105164.81214318,429253.50431215833
1442793600,0.8971422650551497,65835322.779180124,485738.9553869821
1442880000,0.8940475222994914,65633959.754653834,204065.40590088838
1442966400,0.8160373080893036,59927327.71396765,818263.0682
1443052800,0.7405192998515878,54400658.247102216,901151.6190115963
1443139200,0.7778014991497727,57158415.438244216,379124.1859007531
1443225600,0.7213584231130563,53028193.82255717,408380.6390382605
1443312000,0.5830570046974366,42874816.973063745,1214056.2117823916
1443398400,0.65783249,48389042.902712226,936630.3296074625
1443484800,0.7347630535971914,54065419.507539704,640217.6226458604
1443571200,0.6858121897138929,50481342.528862044,588839.7815035215
1443657600,0.6762217338750541,49792779.28891763,220969.48495190177
1443744000,0.6874757575411915,50638684.01549935,163820.85347975112
1443830400,0.6675468579375702,49187272.35,104370.45073472841
1443916800,0.6282550742429386,46307572.65224096,221647.20706785333
1444003200,0.645657762,47605896.39364778,268523.03787593375
1444089600,0.6100126973575233,44984157.19104538,216715.50684861522
1444176000,0.6234833021554507,45977519.79859987,310876.1441075317
1444262400,0.650768765,47989631.25,379233.1220398259
1444348800,0.6297949417268295,46490996.55001768,145554.93808006204
1444435200,0.6370439806918999,47026115.24213034,87074.79961764446
1444521600,0.628787282,46416611.842303865,108895.52921643597
1444608000,0.6026272723327593,44485499.29942276,297117.07710031554
1444694400,0.517689436,38272635.02078042,944847.8047126097
1444780800,0.5614990042588522,41527413.54435173,376563.0715091993
1444867200,0.5331480200007419,39443831.31743269,247071.24723507115
1444953600,0.5490283089973744,40632190.61699083,317377.7617794195
1445040000,0.5184445473595721,38382124.41691709,133661.67045159836
1445126400,0.4870672984193326,36070935.31062339,240250.37656809334
1445212800,0.4329785990312485,32076052.631905656,352361.0618641571
1445299200,0.4397689744048958,32590298.008333907,599041.0131522977
1445385600,0.5654615066780281,41918540.78268511,979304.0724230009
1445472000,0.540737767,40100107.01,866798.4888542511
1445558400,0.5685737685118122,42179070.75754259,259157.66241063716
1445644800,0.6319388092249569,46895926.257060364,476617.7386
1445731200,0.7439579097275092,55226993.78944921,1174026.819064362
1445817600,0.8544552504832845,63451496.574236006,1887568.9059290001
1445904000,1.010409721259424,75057962.81264551,2447633.7976275166
1445990400,1.163748635576317,86478981.55,2236842.210445422
1446076800,1.041849054896385,77447839.42741764,2384549.998119618
1446163200,0.9070916284167455,67453442.47710526,652271.5873221146
1446249600,1.058541941291151,78742733.24541084,603996.1990296076
1446336000,0.9550458603200441,71066352.05814125,970665.6783058537
1446422400,1.002344802929553,74613449.56251672,1878273.0109212757
1446508800,0.9018086605486009,67152505.55125615,3218064.880847628
1446595200,0.906601137,67532501.09696001,1202885.3800460405
1446681600,0.9094421987209234,67767390.10082617,913629.1696859167
1446768000,0.922482091,68761146.27837914,904631.8699629814
1446854400,1.030499514179018,76839299.32470989,1040086.7545033679
1446940800,0.9958029845225516,74277547.07634276,1972521.3874033373
1447027200,0.9348342219016499,69753492.14382021,865031.5412400892
1447113600,0.7887611772679245,58873875.70678452,1243322.7527190507
1447200000,0.900742067,67254888.20415637,826829.6689207307
1447286400,0.9040815579448993,67527257.40972713,545086.2658886773
1447372800,0.8842289054037304,66066714.49,361586.11600976856
1447459200,0.9108255481961639,68078325.79,432023.4078
1447545600,0.9338407839578461,69812830.40735959,616346.9298519328
1447632000,0.9952733578828389,74440734.3,1128249.5445129166
1447718400,0.9944285799213992,74402718.74542972,687203.3331021931
1447804800,0.9514712892422663,71212297.76056388,434385.4815
1447891200,0.9268031189591781,69388368.57982641,606560.3384
1447977600,0.9735724342696529,72914368.80252853,454926.9190034523
1448064000,0.964738532,72276339.25126061,371962.8833336563
1448150400,0.9452203362307195,70839197.81949022,437126.39426833094
1448236800,0.8993611354663962,67424299.39769948,354914.08621214016
1448323200,0.8677070917677269,65072847.332706206,708867.1776788787
1448409600,0.8948747707881739,67132055.60740013,959696.4719438321
1448496000,0.8707128002545287,65341845.392888874,398595.4996438545
1448582400,0.9173987754375574,68868768.28657502,465064.93868912815
1448668800,0.8717449537893333,65463342.96555324,436939.13020833576
1448755200,0.8736009320890139,65624853.97047546,775372.5405749859
1448841600,0.8750039976447704,65752486.02943543,643109.8579217136
1448928000,0.8227337811375524,61844779.03171155,494205.89284799533
1449014400,0.8247651888810106,62018808.085017644,541681.1368684795
1449100800,0.8387909512811372,63094325.07829986,241947.49444270384
1449187200,0.8645837297560469,65056337.64166404,226084.41071520853
1449273600,0.8349924869606098,62850264.41510667,429681.2894745185
1449360000,0.8007502839259887,60292476.61320164,494657.61802976346
1449446400,0.8188527088752511,61675859.110314034,435966.80884823814
1449532800,0.7918293483107267,59661067.18085799,627128.9260492469
1449619200,0.8474422420390545,63872552.27588074,374543.00586710183
1449705600,0.9167389424445134,69119370.62718369,765839.8738111159
1449792000,0.9712583097472548,73250296.07272834,1385279.0437324098
1449878400,0.9583031735578238,72302484.28350292,279257.6104401555
1449964800,0.9954898346339888,75133022.39506158,562723.386
1450051200,1.0170637,76787012.60189861,573171.6204861925
1450137600,0.9889124423815733,74686005.22814946,207316.98728030306
